item,depth,duration,mistakes, User
Korean Fried Chicken,1,25.2726801,0, Nima
Thick crust pepperoni pizza,3,7.6217244,1, Nima
Lobster roll,3,11.9122078,1, Nima
Roman Thin crust pizza,6,7.524232,1, Nima
Pan-Seared Strip Steaks,6,45.58383330000001,19, Nima
Vienna Coffee,1,12.249216599999999,0, Nima
European Herbal Green Teas,4,33.7576159,2, Nima
Italiano burger,4,3.2068675000000004,1, Nima
Italian Grilled Stuffed Beef Rolls,5,31.773077800000003,4, Nima
New York Style Hot Dog,5,5.9902419,1, Nima
Chicken Tikka,2,18.2531144,1, Nima
Chicken-Fried Steak With Cream Gravy,2,11.6922666,1, Nima
Affogato desert coffee,1,26.1774861,0, Arman
Thick crust pepperoni pizza,2,2.1541756,1, Arman
Roman Thin crust pizza,4,3.8480654000000003,1, Arman
Shrimp Pad Thai,6,9.2527884,1, Arman
Sicilian thick crust italian pizza,5,6.061663899999999,1, Arman
Cardamom Turkish Coffee,5,10.101675199999999,1, Arman
Portugalese Gunpowder tea,2,33.647819299999995,2, Arman
Pan-Seared Strip Steaks,3,6.5855224,1, Arman
Matcha green tea (European Varieties),6,10.172338700000001,1, Arman
Italiano burger,4,5.1664923,2, Arman
English breakfast tea,3,7.2978466,1, Arman
Espresso,1,9.6175647,0, Arman
Colombian coffee,4,14.0184587,1, Parsa
Kashmiri indian tea,1,5.1760337000000005,0, Parsa
New York-style pizza,2,3.1967288,1, Parsa
Sushi,1,27.375146800000003,0, Parsa
Thin crust pepperoni pizza,3,9.631449200000002,2, Parsa
Thick crust pepperoni pizza,5,21.229792000000003,1, Parsa
Tim Hortons regular Coffee,4,10.119379000000002,1, Parsa
Affogato desert coffee,2,28.7222097,1, Parsa
Thin crust pepperoni pizza,2,2.9560488,1, Parsa
Sushi,5,7.6367782,3, Parsa
Gol Gav Zaban tea,1,8.48603,1, Parsa
Lobster Thermidor,4,3.7993866999999995,1, Parsa
Portugalese Gunpowder tea,5,14.621234,3, Parsa
European Herbal Green Teas,4,8.3907438,1, Parsa
Butter Chicken (Murgh Makhani),1,35.5677656,0, Parsa
English breakfast tea,3,5.9294941,1, Parsa
New York Style Hot Dog,6,9.0687532,1, Parsa
Espresso,6,21.92913949999999,7, Parsa
Caravan tea,3,10.0809161,1, Parsa
Sashimi,3,9.2695137,1, Arman
Kashmiri indian tea,5,9.907964100000001,4, Arman
Sushi,6,6.9086327999999995,1, Arman
Jamaican Blue Mountain Coffee,2,8.568773,1, Arman
Margherita Thick crust pizza,1,14.8986413,0, Arman
Tim Hortons regular Coffee,2,8.0166041,1, Arman
Shrimp Scampi,4,11.775638299999999,2, Arman
Van Houtte coffee,3,3.2020345999999997,1, Arman
Sencha-style Portugalese green tea,5,8.077378199999998,2, Arman
Portugalese Gunpowder tea,4,6.863822399999999,1, Arman
Swedish Meatballs,6,6.8050262,1, Arman
Chicken Tikka,1,21.2610392,0, Arman
